ID,Timestamp,Name,Action,Duration,Day,Total Drinks
0,5,B,Co,4,0,0
1,9,K,Co,8,0,0
2,13,A,Co,12,0,4
3,21,I,Co,20,0,2
4,25,M,Co,23,0,6
5,29,V,Co,28,0,2
6,31,G,Co,28,0,1
7,37,N,Co,35,0,2
8,39,^,Co,36,0,2
9,45,Q,Co,41,0,1
10,51,U,Co,48,0,5
11,53,T,Co,49,0,2
12,59,C,Co,55,0,2
13,61,X,Co,57,0,2
14,65,E,Co,60,0,0
15,67,S,Co,63,0,2
16,71,W,Co,67,0,0
17,75,H,Co,70,0,3
18,79,D,Co,74,0,2
19,81,L,Co,75,0,1
20,87,O,Co,80,0,1
21,91,F,Co,86,0,4
22,99,[,Co,92,0,4
23,103,J,Co,98,0,4
24,107,Z,Co,100,0,0
25,113,],Co,106,0,5
26,115,\,Co,108,0,2
27,121,R,Co,113,0,2
28,125,B,Co,98,0,0
29,133,P,Co,125,0,7
30,135,A,Co,104,0,7
31,137,Y,Co,129,0,0
32,141,K,Co,110,0,0
33,145,I,Co,108,0,2
34,153,M,Co,108,0,13
35,153,G,Co,103,0,3
36,165,V,Co,116,0,6
37,165,^,Co,107,0,6
38,175,N,Co,121,0,5
39,179,U,Co,104,0,10
40,179,Q,Co,114,0,1
41,189,C,Co,113,0,5
42,189,T,Co,113,0,5
43,197,S,Co,114,0,4
44,201,W,Co,111,0,0
45,207,X,Co,124,0,9
46,209,L,Co,109,0,3
47,211,E,Co,125,0,0
48,219,H,Co,132,0,5
49,221,O,Co,117,0,5
50,225,D,Co,126,0,3
51,227,F,Co,115,0,5
52,233,[,Co,117,0,6
53,237,\,Co,107,0,5
54,237,J,Co,113,0,4
55,241,Z,Co,113,0,0
56,243,],Co,109,0,6
57,247,B,Co,109,0,0
58,251,R,Co,116,0,5
59,253,A,Co,99,0,8
60,255,Y,Co,96,0,0
61,265,P,Co,110,0,11
62,265,I,Co,96,0,5
63,269,K,Co,107,0,0
64,273,G,Co,102,0,5
65,283,^,Co,100,0,9
66,287,M,Co,118,0,20
67,295,U,Co,104,0,14
68,299,T,Co,87,0,5
69,303,V,Co,119,0,12
70,305,C,Co,91,0,6
71,311,L,Co,85,0,4
72,313,N,Co,117,0,8
73,315,E,Co,83,0,0
74,321,Q,Co,124,0,3
75,325,S,Co,113,0,4
